Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Plasmacytoid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_23,0.466001752020943,0,0.0168611787490958,0,0.0606358213327324,0,0,0.0153145133266574,0.0137103638137805,0,0,0.0196640458235421,0.0415069407881219,0.0766521323253272,0,0,0.0160153399980122,0.00303056175662734,0,0.27060735006516,0,0.919445892454574,0.5187582357995
P_24,0.226359581418526,0.471824345598604,0.0136521654736885,0,0.0326422511058487,0.0012315366141633,0,0.0108615303579036,0.0108406493583404,0.0311291453194575,0,0.0207922153129859,0.0049817561958946,0.0305013545783904,0,0,0.010807706056395,0.0258907517042689,0,0.108485010905533,0,0.779283655904223,0.642216624297051
P_25,0.407932820272898,0.211045680948407,0.0198488182711732,0.00824141460910276,0.0461786041249953,0,0,0.0265279357780457,0.00358087757747916,0.0568722258629883,0,0.0156490652978703,0.0228693742435869,0.0271238673088754,0,0,0.0199692869486482,0.0393301409090789,0,0.0948298878468508,0,0.883190263175533,0.548083233332726
P_26,0.305836115467496,0.515657005985912,0.0102503886798383,0,0.0281958220779911,0,0,0.00509341093956618,0.00160974620791555,0.00638202397940263,0,0.0070926095286171,0.00963297228638663,0.0190123824171658,0,0.00110546956063642,0.00858879530853273,0,0,0.0815432575605396,0,0.797374017705268,0.611691945268665
P_27,0.582707112049797,0.0999150125742293,0.0131472703626949,0,0.0130737059071343,0,0.0622388849308342,0,0.0453369456315407,0,0,0.00446170107265867,0.00474928995478705,0.0394334298934408,0,0.0142859277867959,0.0124738135165165,0.00492182232598329,0.0143770951203277,0.0888779888732596,0,0.868367055926984,0.55213432672176
P_28,0.56408187225416,0.0935286946444822,0.0297329769936652,0,0.0749367979329497,0,0,0.00413044111369888,0,0,0,0.0185179667490145,0.073503375389247,0.0644573849702188,0,0,0.0193351061911532,0,0.0213790100936627,0.036396373667748,0,0.788430370662446,0.637869820145383
P_29,0.35151469796575,0.279569550968005,0,0,0.0279290469079144,0,0.0609682798626183,0,0.0731052616165385,0.0375915381291639,0,0.0359407232433542,7.79386297092864e-05,0.051030533499594,0.00287995421963879,0.00191418661478884,0.0201619520828826,0.0188413385191511,0,0.0384749977408903,0,0.867868574664327,0.566276970912159
P_30,0.374454543347659,0.440901597052477,0.00693803234923247,0.00183393514738982,0.0314247986608161,0,0,0.0380921476668598,0,0.00191861366226091,0,0.00759089847996219,0.0416987095547272,0.021041639270518,0,0,0.00953229127807616,0.0054840180469154,0,0.019088775483105,0,0.769391660616263,0.644365676631302
P_31,0.568032065785048,0.0129198689928872,0.05469643951076,0,0.0212934605985851,0,0,0.0775958451145698,0,0,0,0.00747288321215924,0.0730225730831045,0.0616957320036004,0,0,0.0382744767705898,0,0.0239175182055976,0.0610791367230989,0,0.8333972879065,0.602462380273334
P_32,0.445865659996222,0.169868623005122,0.0212791838989838,0,0.000859842023515022,0.0226110028229467,0,0,0,0.0207082853734305,0,0.0390292085587981,0.0413328060182513,0.0881330180907979,0.000119290934514078,0,0.0283772759377776,0.0501570887795056,0.0179430303812075,0.0537156841789272,0,0.691282321074182,0.727684104568068
P_33,0.485273140693079,0.236507235777028,0.0124626194900285,0,0.0446103097031669,0,0,0,0.0348444810075541,0,0,0.00702952268899247,0.00909550250283109,0.0685323026735756,0,0,0.0139346618161884,0.00779244519139459,0.00473994101339252,0.0751778374427686,0,0.908937944609458,0.493971359793505
P_34,0.784329581697416,0.0208513218235415,0.0067957172714312,0,0.0341305975980335,0,0,0.0118225114231598,0,0.0178916730399688,0,0.0110811343262141,0.0205439907890075,0.0103972365264263,8.29394250371364e-05,0,0.00637491325073313,0.0172803739379923,0,0.0584180088910386,0,0.781351101322937,0.629605605514339
P_35,0.579534293001897,0.158931003313129,0.0152158345665371,0,0,0,0.0142850631192265,0,0.0111449948025408,0.0229535232653986,0,0.0307448785476422,0.0290406772611453,0.0332134134968469,0,0,0.0195145165299772,0.0249836528509305,0,0.0604381492447287,0,0.901706019184882,0.50045326114751
P_36,0.559207081757075,0.0103776333583201,0.0386132217321077,0,0.0482980304591444,0,0,0,0.0161859896564706,0.0311058434979418,0,0.0388987098440969,0.0194319277902132,0.0606771579117445,0.00267588792068459,0,0.0258472406310512,0.00751988332199631,0,0.141161392119154,0,0.875859040274296,0.559114973183719
P_37,0.688390342442462,0.111256303799229,0.0241963458357311,0,0.0781779787877612,0.00512944259559579,0,0.0186025943650766,0,0.00702095966512915,0,0.00520831151139659,0.0233706266878926,0.0178350825436379,0,0,0.0109615451410794,0.00403633441085893,0,0.0058141322141504,0,0.92458355272879,0.448606645054664
P_38,0.539197691425182,0.155989059752815,0.0256429080643271,0,0.0528665726420087,0,0,0.0308062760401021,0,0.00489044210093523,0,0.0163680761552376,0.0468811519279714,0.0405418502648707,0,0,0.0173302554824161,0.0189596563994242,0.00456705492291718,0.0459590048217934,0,0.860898341677303,0.558724196326339
P_39,0.537132713733036,0.261819203239287,0.00125012013632003,0,0,0,0.0510018006080029,0,0.0115984350298235,0.0036910167849661,0,0.0127823873801756,0.00185132215558068,0.0414388730775075,0,0.000905228710529687,0.00724389673343569,0.00686145893581956,0.0123585356115661,0.0500650078639496,0,0.906392110156486,0.480111154731502
P_40,0.645894903261879,0.0551937023485376,0.0595152516409465,0,0,0,0.0225399193697653,0.0246380011721955,0,0.0425402428739967,0,0.0504213538212844,0.0238623393323741,0.0236044799483105,0,0,0.0172236507611357,0.00492437117393986,0.00263512957213943,0.0270066547234957,0,0.892297402584208,0.517204415674654
P_41,0.36711910831315,0.247242487193641,0.00859765913039093,0,0.050376461843184,0,0.0280784112667426,0.0311324271289589,0.0289439475037197,0,0.00204090212454443,0,0.0154113053454315,0.064749704979963,0,0.00595344322598119,0,0.0314597691921261,0,0.118894372752166,0,0.803631520079907,0.630043219115148
P_42,0.374351055863524,0.257385627818883,0,0.000643551245039898,0.0445899403313261,0,0.0739580533784112,0,0.00843120141497851,0.0428584187337386,0.000620731764115615,0,0.00116822164003094,0.00168487727397253,0.000194291751416904,0.00956079403875176,0.00803640344804545,0.0435913642111857,0.00581619086597642,0.127109276220604,0,0.95436723894691,0.460047725230043
P_43,0.663429804333654,0.190199595087639,0.00128532082126688,0,0.035035453208374,0,0,0,0.0164483936747123,0,0,0.0144908077677309,0.0163171953568918,0.0128409386469441,0,0,0.00834760142407331,0.034309116516494,0.00307863352670103,0.00421713963551862,0,0.858662932227816,0.533210529052328
