Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE,Absolute score (sig.score)
P_24,4.60350962183642,7.54235339917113,0.215734239827394,0,0.590658674103921,0,0.112863038159566,0.372552623557935,0.711183710135226,0,0,0,0,0.838812596908899,0,0,0,4.02424770239992,3.4578568896551,0,0.375251714048396,0.977343086073162,22.4697724957555
P_25,5.82018313387066,4.1777587518791,0,0,0.324134569552011,0,0,0.848496866167332,0,0,0,0,0.337114264150744,1.01606340459539,0,0,0,4.16149631475536,1.85104811098865,0,0.530415104159254,0.899872154277934,18.5362954159592
P_26,4.87394074508613,14.1275770450282,0.0247600082127643,0,0.616835904551129,0,0.289149051134953,0.100178320956023,0.801641933913809,0,0,0,0,0.534005901883794,0,0.0459221993938356,0.269268132401307,0.447451052908798,4.37324593542912,0,0.0959168817668049,1.01864011788887,26.5039762308998
P_27,9.4875987254978,15.6493891613012,0,0.186975961967056,0,0,1.98354910791198,1.17082476211758,0.920326074313231,0,0,0,0,0.829316249007174,0.0082599948516854,0,0,1.01699951067534,5.26537165778987,0,0.38707310351944,0.925616038889667,36.5186112054329
P_28,21.5882212132,3.59085961605799,0.0665305055625647,0,1.75123712638103,0,0.52690818950627,0,0.804240991990875,0.190776121420842,0,0,0.312162462273318,2.05600736906256,0.00812492948413582,0,0.182862833146559,0.0934675811443615,3.21171481289178,0,0.3275839681386,0.945213095323792,34.3831137521222
P_29,6.49342281390937,14.9572492420765,0,0,0,0,3.30508481040299,0,1.19364995741041,0,0,0,0.377389396595715,0.745603964572304,0.0965513681803281,0,0,11.0803837644832,4.5922572120805,0,0.830736003826074,0.569253083521441,42.8415925297114
P_30,7.67378787712928,14.7332441059201,0,0,0.638861438316635,0,0.507914554444353,0.0858398946294128,0.140946439353621,0,0,0,0,0.369555094877746,0,0,0.245588037445775,0.0542772853957788,1.27402941510193,0,0.140128006124921,1.00847020921461,25.7240441426146
P_31,16.6147669986337,2.53434668111018,0.646774815025259,0,1.74618791806632,0,0,1.49473605230297,0,0,0,0,0.441312160635222,1.81040104743837,0,0,0,0.0414240241849495,2.34850870667778,0,0.218491657690903,0.978139805737771,27.6784584040747
P_32,3.50068966074241,4.28703725956768,0,0.0222064818146444,0.35186796064622,0,0.0116503003020619,0.347418689518896,0,0.0110366518793081,0,0,0.498262907018361,0.45185308745755,0,0.0107037187487195,0.0140512326931947,5.49653962725069,1.93625457855721,0,0.797341713281966,0.713271292068745,16.9395721561969
P_33,12.5249589159702,7.3302211282676,0,0,0.721458535121882,0,0.466519280833781,0.19465620181465,0.400783767611563,0,0,0,0,1.02990015400365,0,0,0,0.292764992865551,5.41305620857059,0,0.40651123418765,0.919649255422187,28.3743191850594
