Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Myeloid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,CAF,P-value,Correlation,RMSE
ACC_0130T_01,0.827114445336779,0.129967988359935,0.00188516749465927,0,0.00315153632671329,0.00524334812444601,0.00188272534285736,0.00098474278708365,0,0,0.000760791268468623,0.000638265922276247,0,0.0213623649826633,0,0.000128131993635814,0,0,0.00688049206048233,0,0.469851271379418,0.882670589730324
ACC_0152T_01,0.0498341220139273,0.878869672814369,0.00413991907560458,0,0,0,0.00205413422620949,0.00654062386560079,0,0.000289397762510793,0,0,0.00538077917587583,0.0170052024750111,0,0,0,0,0.0358861485908906,0,0.484994249235644,0.874616641752602
ACC_0154T_01,0.0903072129918978,0.350577020497951,0.0610119555934161,0,0,0.00504719843196374,0.05553244812112,0,0.00341220283394676,0.00231804899587856,0.00137379775148231,0.0270340172105163,0,0.0407925187039017,0,0,0.000621420548970571,0,0.361972158318955,0,0.318942364893483,0.949828679298588
ACC_0303T_01,0.0378550347286688,0.731931693213408,0.0104693123691845,0,0.00803756983192881,0.00181841475681802,0,0.00516713093544522,0,0.0040325647639503,0,0.0121943440805626,0.0146660419966937,0.0116908037173611,0,3.17304928425169e-05,0.00280284434278221,0,0.159302514770354,0,0.406386318339649,0.914921467571272
ACC_0142T_01,0.415635672055798,0.478946213729193,0.00551278158574086,0.00889293937022763,0,0.00329484774711717,0.000520354657815434,0.00622361607508629,0,0,0,0,0.0172393845807577,0.0114466781184082,0,0,0.00268908061875551,0,0.0495984314611008,0,0.45870491680744,0.888484839744863
ACC_0043T_01,0.294135238840122,0.523517898699561,0.00204806993193658,0,0,0.0122014274816939,0.00529168747734568,0.00923106793107991,0,0,0,0.00609934622400159,0.00587560032514957,0.0246721390241794,0,0,0,0,0.11692752406493,0,0.456459183095369,0.889735629483917
ACC_0251T_01,0.777273325281465,0.157934879141738,0.00414468625002177,0,0,0.00602420255008607,0,0.00519216929785931,0.00149432778346968,0.00325701114921813,0,0.00169608870909564,0,0.010136299977457,0,0,0,0,0.0328470098595892,0,0.589376202633489,0.818228755897104
ACC_0055T_01,0.491153301279356,0.45471607198388,0.000175024951536883,0,0.00396337689629264,0.00981472499149017,0.000466916783436212,0.000634218954565523,0,0,0,0,0.00581621566270438,0.00691503326317532,0,0,0,0,0.0263451152335632,0,0.525108128875333,0.852906225699169
ACC_0061T_01,0.0112010589843504,0.0957311033537757,0.0156167740457741,0,0,0.0472222684931429,0,0.0432174067125722,0,0.0224276211735056,0.00568310265523409,0.0305918008847483,0,0.0404533927448725,0.000152173861564263,7.47968535959671e-05,0,0,0.687628500236864,0,0.268554780512014,0.982655608098166
ACC_0182T_01,0.139269933842597,0.709369884696941,0.00619075657946507,0.00881954302870862,0.00449087860512149,0.000596150586182101,0.0106402468031148,0,0,0,0,0,0,0.0104887543564915,0,0,0.0037949545023993,0,0.106338896998979,0,0.277305255536365,0.979453365513342
ACC_0220T_01,0.515767507516733,0.448117832028582,0.00140482757263256,0,0,0.00346443492692637,0,0.00264396439989501,0,0,0,0.00156691879935366,0.00952091680834667,0.00520718809509876,0,0,0.00106599814656512,0,0.0112404117058673,0,0.588861267987668,0.816672259351913
ACC_0081T_01,0.146713008835792,0.235035304638631,0.0355470451519791,0,0,0.0778439123058961,0.0443758539128993,0.00669025479608608,0,0,0,0.0134878603660129,0.0122722811265025,0.153786573195701,0,0,0,0,0.274247905670501,0,0.245978433973083,0.9736891240764
ACC_0156T_01,0.197785565958206,0.726809243395556,0.00451237956936121,0,0,0.00692617877166017,0,0.0117454068092741,0,0.00652658106271535,0,0.00318068352191033,0.00623417590886425,0.00657587180026874,0,0,0,0,0.0297039132021841,0,0.289146150651206,0.976524000495421
ACC_0269T_01,0,0.813538696672017,0.00649473293188747,0,0,0.000511670479154252,0,0.000780938605089279,0,0.000293222383075903,0,0.0102568099372419,0.00347615162167805,0.0173608368762226,0,0,0.000800275171282627,0,0.146486665322351,0,0.347786531516869,0.946701078494716
ACC_0056T_01,0.43092816251973,0.467218932619418,0.00946530512146986,0,0,0.0143617669207486,0,0.00645573855694756,0,0,0,0.00834518498191997,0,0.00959415816794806,0,0,0,0,0.0536307511118174,0,0.266845084417035,0.981495605056367
ACC_0175T_01,0.528190079059444,0.431209785660094,0.0023643525559785,0.00053447922153678,0.00654060631792467,0.00455547262532535,0,0.00308802775868455,0,0,0,0,0.00123789683136946,0.00808631668535017,0,0,0,0,0.0141929832842922,0,0.507308528712213,0.862504786239993
ACC_0118T_01,0.384871711904032,0.329833801616883,0.0429841922099934,0,0,0.0166480157296739,0,0.0143325972405466,0,0,0,0.029467159619181,0.00437918294747036,0.0384371612303979,0,0.000160097499892426,0,0,0.138886080001929,0,0.145345026060719,1.02025865364199
ACC_0039T_01,0.355729269732102,0.459560349476915,0.00790861548172095,0,0,0,0.00969336768477949,0,0.00135648522618628,0,0,0.0027537390863511,0,0.0189607967194008,0,0,0,0,0.144037376592544,0,0.520878810894216,0.857020997024622
ACC_0207T_01,0.0117128587157424,0.610778353109491,0.0705326335138978,0,0,0.0140217194775962,0.0162353523966862,0.0242728412693178,0,0.010955609490037,0,0.059631540184081,0.0213952791057958,0.0505399249722489,0,0,0,0,0.109923887765106,0,0.206673886175841,0.994573286443052
ACC_0131T_01,0.343007783122723,0.593830537899141,0.00682641063105559,0,0,0,0.00819112965070764,0.000957605882591498,0,0.00240585838862036,0,0.000248818266176996,0.00078427460017647,0.0050647887833332,0,0,0,0,0.0386827927754745,0,0.459264459283876,0.8883232310516
ACC_0107T_01,0,0.683791153799024,0.103576959118547,0.0126968923848916,0.0180146835762353,0,0,0,0.00392144071254911,0,0,0,0,0,0,0,0.00649984209129969,0,0.171499028317453,0,0.226584098123208,0.994319359037985
ACC_0198T_01,0.160988558281937,0.42571450073911,0.0187289552927574,0,0,0.0246429760469391,0,0.02762506233505,0,0.00119269194894036,0,0.00228425105091705,0.00596997172457135,0.0534671718207834,0,0.000692180517934374,0,0,0.278693680241059,0,0.384464821851011,0.923123914171087
ACC_0298T_01,0.434505398171183,0.413437628468955,0.0052801685995984,0,0,0.0276386160233445,0.000479603073292804,0.0132410107068912,0,0.00219106882790134,0,0.00783124948039748,0.00853262049701241,0.0441645847835137,0,0,0,0,0.0426980513679095,0,0.599086178082919,0.818647519557865
ACC_0058T_01,0.131717996702,0.106092880485472,0.00630630908052703,0,0,0.0390408491354786,0,5.40747940895062e-05,0,0.0019304172270524,0,0.035299238494321,0,0.0737380101026411,0,0,0,0,0.605820223978418,0,0.606431281088397,0.811624060321706
ACC_0158T_01,0.335849438546493,0.257324933162664,0.0313579987185294,0,0,0.0738073075378717,0.0193780969327848,0.0344499728623454,0,0.00870655707106575,0.00465522559826208,0.0444311378655693,0,0.0530771430651587,0,0.00015570883565897,0,0,0.136806479803597,0,0.191287139491982,0.994235510395059
ACC_0272T_01,0.692663364354802,0.236812408466782,0.000116486732699361,0,0,0.00907267923294373,0,0.013253705656525,0,0,0,0.00226216265467827,0.00254888657925805,0.021575215591605,0,0,0,0,0.0216950907307062,0,0.579598723149,0.82461922070854
ACC_0143T_01,0.390857673990285,0.492969711008708,0,0.000864163432396221,0,0,0.00806728022402882,0.0109664175705088,0,0,0,0,0.00982298957246888,0.0327672713519724,0,0.000287145140970392,0,0,0.0533973477086607,0,0.505890766882737,0.864303067006951
ACC_0242T_01,0.593390208212325,0.327495459258609,0.00117926275830624,0.00199749729149496,0.0028511141015673,0,0,0.00370673022207804,0,0,0,0,0,0.00756924662706966,0,0,0,0,0.0618104815285501,0,0.535373836169164,0.847870964573681
ACC_0264T_01,0.238875573700627,0.577152667564188,0.0170064161269734,0,0,0.0118249817629691,0.0315981676121157,0.0135737798282914,0,0.00189394268361425,0,0,0.00698751547767582,0.0455593940529916,1.55382896621529e-05,0,0,0,0.0555120229008912,0,0.129295806141266,1.03632329041251
ACC_0116T_01,0.616418205554011,0.253041744166457,0.00365761414114454,0,0,0.0185367716713422,0.00570996652244442,0,0,0.00331867966333068,0,0.00724760571136562,0.00678258523228368,0.0119611439562838,0,0,0,0,0.0733256833813365,0,0.55444939522803,0.840090566729482
ACC_0078T_01,0.196245936328581,0.606498238239409,0.00541846701992365,0,0,0.0252411247174146,0,0,0,0,0,0.0147535630555147,0,0.0141700638434091,0,0,0,0,0.137672606795748,0,0.432857180738156,0.901434738354245
ACC_0213T_01,0,0.835963310614388,0.00364887050742257,0,0.00632568167090415,0.00099569374555276,0,0,0,0.00341911186548848,0,0.00517275985371864,0.00174665396917763,0.00959954936931636,0,0,0.00542978713267251,0,0.127698581271358,0,0.388578925154673,0.926440538161683
ACC_0254T_01,0.903360367523581,0.0275730685687994,0,0.00215992926655048,0,0.00312982405663078,0.000549428277274639,0.00463505860298396,0,0,0,0,0.00205691028285226,0.0409264876525336,0,0,0,0,0.0156089257687935,0,0.574010383589492,0.826969134689151
ACC_0172T_01,0.701180865219775,0.227565606429755,0.0044160205658411,0,0.00309372816416879,0.00196160711437423,0.0114525591623715,0,0.000522001132330576,0,0,0,0,0.0142933128941056,0,0,0.000404614160336484,0,0.0351096851569418,0,0.390150227302729,0.922947701730667
