"cell_type"	"microenviroment"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"gdT pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"Treg pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD8_CM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_Naive pri"	"pri"
"CD8_Naive pri"	"pri"
"Treg pri"	"pri"
"gdT pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"gdT pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"MAIT pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"gdT pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"MAIT pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"MAIT pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"MAIT pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD8_CM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"MAIT pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_CM pri"	"pri"
"Treg pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_CM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD4_EM pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_EM pri"	"pri"
"CD8_Naive pri"	"pri"
"CD4_EM pri"	"pri"
"gdT pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"CD8_TEMRA pri"	"pri"
"Treg pri"	"pri"
"CD4_EM pri"	"pri"
"MAIT pri"	"pri"
"gdT pri"	"pri"
"CD4_EM pri"	"pri"
"CD4_CM pri"	"pri"
