gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Basophils LN	Basophils pri	CAF LN	CAF pri	CD8+ NKT-like LN	CD8+ NKT-like pri	Effector CD8+ T LN	Effector CD8+ T pri	Luminal LN	Luminal pri	Macrophages LN	Macrophages pri	Myeloid Dendritic LN	Myo LN	Myo pri	Naive B LN	Naive B pri	Naive CD4+ T LN	Naive CD4+ T pri	Neutrophils LN	Neutrophils pri	Plasma B LN	Plasma B pri	Plasmacytoid Dendritic LN	Plasmacytoid Dendritic pri
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0F3C5EBCC	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC034FE836A	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC079435E2F	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC05C1C7836	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS07EEAD824	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	0.0	0.0	0.0	0.017	0.144	0.037	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064
