""	Myo	Luminal	Naive B	Naive CD4+ T	Effector CD8+ T	CD8+ NKT-like	Plasmacytoid Dendritic	Macrophages	Basophils	Neutrophils	Plasma B	Myeloid Dendritic	CAF
ITGAX	1.09134176652365	3.09149602869491	12.273258608523	2.93363731683281	134.942581112964	324.77440619551	4478.25332183434	4146.83210512397	1512.81176400773	9229.88874933054	0	209.645312271101	0.340608504678783
CD14	25.5410636530462	3389.94433361672	0	244.998650255112	720.296176721186	348.86080811333	78208.4949460747	362742.344099989	549.631047321615	26107.5803457492	0	345.847120426025	432.461825259896
CD68	0.425056560023778	0.0247618782638789	53.3398421637696	0.882171551351997	0.241838713476388	75.6608133249267	214.403669948107	175.53303891686	0.159973158839074	0.189699613987904	0	0	1.22268703938969
CST3	10594.8137072712	1599.11380295375	58.1405164649592	63.9237257470068	344.153489875307	64.9271103342857	32229.2686134408	16870.1707267521	2046.66078159076	45.8177210743231	9.67349613035424	1429.90689067912	9663.25067704618
S100A12	20.938341426956	4.85339248011169	0	0	0	0	2415.67200626559	8.96427176762872	0	28204.4654570586	0	0	0
VCAN	6373.61321821028	4459.2077269083	1.67733505513045	10.4382863665724	57.3330210087326	0.0347616033514533	2724.47600418899	12.2761431844449	0.0325339339196901	0.636455034736789	0	0.0764304000232172	7832.13355857499
C1QC	0.529581366915954	0	0.138357923849722	601.431257865137	713.584869872339	295.053747742167	34920.3019138488	210096.536849197	817.121859062976	0	0	0	8.39733304787496
CDKN1C	210.374653564923	98.3665939264468	55.9298304795443	50.6247194676501	168.301454201537	74.3105029867361	148.619497429686	189.005792857411	6.59972372338655	0.485734888665647	0.80119503777755	0	344.722610880172
FCER1G	113.645302350873	14.5854435616834	719.671173189173	107.982974603445	4633.92313974597	8110.53072779577	178668.037830299	190865.72257864	88044.8281652548	46951.6685236744	0	983.469628348054	776.682435344866
LST1	1.03805237307847	3.82100973643419	330.460180887044	62.9421974331026	387.533162086794	150.507080442792	5289.38090114597	3044.92873266808	104.598583240454	17143.4496147017	0	216.024606570837	125.060331615175
MS4A7	0	0.00324283278101537	414.936140804588	0.494923317169006	0.0328608785522059	176.972650282924	4168.36781406272	19447.5775178968	85.502400996554	0	0	0	7.61189387734044
RHOC	1150.41061711053	1384.02344796117	275.38089792917	552.225134957629	1226.03688892511	1032.8199164812	1280.40724329456	1243.43627564268	1159.85705150256	0.256734612296559	5.80153656860811	1813.42253389099	3429.90534517878
IL1B	1.19645085906752	0.0580494052361516	0.320057157109615	0.0551697221891807	8.56981236883941	24.3771730907555	240817.622989219	340204.856725089	0.280034356742057	93334.4162329564	0.0839684056210203	0	0.168543575719748
CCL18	16.2378978991863	12.9825864101489	0.139990444650842	0.833240305110176	0	137.382925057278	0	555.417535857208	0	0	0	0	35.6776000890994
CSF1R	4.56095743205992	3.80553067833405	3.37627623831174	130.145040126938	2.0041593862585	45.0449527880183	26543.2948268301	78697.7413710919	34.7972816632128	39.2770584270332	13.023983617548	0	21.9778343875422
CD163	0.137210200494435	0.0702013493935259	0	0.0322459205028596	227.53386317872	23.8876591316343	4315.11502035416	20485.6243821441	0	0	0	0	79.6142756953979
MRC1	1.83119549873037	0.818496289458258	0	99.1275563422864	17.4603059866134	10.0817136876711	948.806086825789	6182.60456099008	0.576598107077989	0	0	0	0.349090473287486
FCGR1A	0.438355294647646	1.95639347439763	0	8.31296956267786	0.316657584862679	0.814204454356903	447.712542561771	1790.33512008925	0	461.127267667395	0	0	0.0684577685066117
CD80	0.537479718451048	0	216.378047263843	195.452190552381	0.0184682618692126	88.0153656709023	635.483278569226	376.529825169345	563.733681852466	0	0	4930.7720287264	4.01556990962304
CD86	0.0122114241326933	0	367.892151265385	77.0285416842975	89.6275306659973	44.8408033822264	10107.206222945	9071.97195011376	282.905605867409	5.97255915374084	154.735171640181	11229.1919819278	0.181026849750053
MSR1	0.160910432968888	0.389270923835801	10.2037856982215	1.13377899560881	0.198150084277868	3.82451650970726	1007.46157954046	3312.83949008898	0	0.0543283578787914	0	1.9919600338925	0.326856637634066
GP9	0.150096707561123	0	0	0	0	0.110616170549861	0	0	0	0	1.77537581991859	0	7.44828958455355
