gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CAF LN	CAF pri	CD4_CM LN	CD4_CM pri	CD4_EM LN	CD4_EM pri	CD4_Naive LN	CD4_Naive pri	CD8_CM LN	CD8_CM pri	CD8_EM LN	CD8_EM pri	CD8_Naive LN	CD8_Naive pri	CD8_TEMRA LN	CD8_TEMRA pri	Luminal LN	Luminal pri	MAIT pri	Myo LN	Myo pri	Treg LN	Treg pri	gdT LN	gdT pri
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	0.0	0.09	0.141	0.243	0.0	0.13	0.0	0.0	0.0	0.151	0.0	0.186	0.201	0.0	0.0	0.0	0.437	0.16	0.0	0.539	0.227	0.0	0.0	0.0	0.609
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	0.0	0.09	0.141	0.243	0.0	0.13	0.0	0.0	0.0	0.151	0.0	0.186	0.201	0.0	0.0	0.0	0.437	0.16	0.0	0.539	0.227	0.0	0.0	0.0	0.609
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	0.0	0.031	0.141	0.243	0.0	0.118	0.0	0.0	0.0	0.058	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.017	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0F3C5EBCC	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0067AC6C9	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC0253C0919	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC034FE836A	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC079435E2F	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CC05C1C7836	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS063516AC0	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS0C5C5E217	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS07EEAD824	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAT	P28329	True	CLAT_HUMAN	Acetylcholine_byCHAT	CPI-CS09DCE99A5	0.0	0.017	0.0	0.117	0.709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
