lr_pair,cell_types,means,common_in_patients,direction
BMP8A-BMPR1A-BMPR2,Myeloid Dendritic pri-pan.dCAF pri,1.759,5,immune->CAF
BMP8A-BMR1A-ACR2A,Myeloid Dendritic pri-pan.dCAF pri,1.817,5,immune->CAF
C3-C3AR1,pan.iCAF pri-Macrophages pri,7.6232,5,CAF->immune
C3-C3AR1,pan.iCAF pri-Myeloid Dendritic pri,5.4056,4,CAF->immune
C3-integrin-aMb2-complex,pan.iCAF pri-Macrophages pri,5.653,5,CAF->immune
C3-integrin-aMb2-complex,pan.iCAF pri-Myeloid Dendritic pri,5.151,4,CAF->immune
C4A-C5AR2,pan.dCAF pri-Macrophages pri,1.535,4,CAF->immune
C4A-C5AR2,pan.iCAF pri-Macrophages pri,2.0498,5,CAF->immune
C4A-C5AR2,pan.myCAF pri-Macrophages pri,2.6746,5,CAF->immune
CCL2-CCR2,pan.dCAF pri-Myeloid Dendritic pri,2.5964,5,CAF->immune
CCL2-CCR2,pan.iCAF pri-Myeloid Dendritic pri,2.108,4,CAF->immune
CCL2-CCR2,pan.pCAF pri-Myeloid Dendritic pri,3.3045,4,CAF->immune
CD1B-complex-IL6ST,Myeloid Dendritic pri-pan.dCAF pri,2.872,4,immune->CAF
CD1B-complex-IL6ST,Myeloid Dendritic pri-pan.iCAF pri,3.174,4,immune->CAF
CD1B-complex-IL6ST,Myeloid Dendritic pri-pan.myCAF pri,2.55775,4,immune->CAF
CD1B-complex-IL6ST,Myeloid Dendritic pri-pan.pCAF pri,2.758,4,immune->CAF
CD248-IL6R,pan.dCAF pri-Macrophages pri,3.896,5,CAF->immune
CD248-IL6R,pan.dCAF pri-Myeloid Dendritic pri,3.6296,5,CAF->immune
CD248-IL6R,pan.iCAF pri-Macrophages pri,3.685,5,CAF->immune
CD248-IL6R,pan.iCAF pri-Myeloid Dendritic pri,3.4186,4,CAF->immune
CD248-IL6R,pan.myCAF pri-Macrophages pri,3.889,5,CAF->immune
CD248-IL6R,pan.pCAF pri-Macrophages pri,5.134,4,CAF->immune
CD248-IL6R,pan.pCAF pri-Myeloid Dendritic pri,5.032,4,CAF->immune
CD320-JAML,pan.dCAF pri-Myeloid Dendritic pri,4.8576,5,CAF->immune
CD320-JAML,pan.iCAF pri-Myeloid Dendritic pri,4.7296,5,CAF->immune
CD34-SELL,pan.iCAF pri-Myeloid Dendritic pri,3.972,5,CAF->immune
CD80-NGFR,Myeloid Dendritic pri-pan.iCAF pri,1.2096,4,immune->CAF
CD93-IFNGR1,Macrophages pri-pan.dCAF pri,5.5068,4,immune->CAF
CD93-IFNGR1,Macrophages pri-pan.iCAF pri,5.655,4,immune->CAF
CD93-IFNGR1,Macrophages pri-pan.pCAF pri,6.04325,4,immune->CAF
CD93-IFNGR1,Myeloid Dendritic pri-pan.dCAF pri,3.8096,4,immune->CAF
CD99-PILRA,pan.dCAF pri-Macrophages pri,7.3724,5,CAF->immune
CD99-PILRA,pan.dCAF pri-Myeloid Dendritic pri,6.9144,5,CAF->immune
CD99-PILRA,pan.iCAF pri-Macrophages pri,7.212,5,CAF->immune
CD99-PILRA,pan.iCAF pri-Myeloid Dendritic pri,6.7538,5,CAF->immune
CD99-PILRA,pan.myCAF pri-Macrophages pri,6.5834,5,CAF->immune
CD99-PILRA,pan.myCAF pri-Myeloid Dendritic pri,6.1252,5,CAF->immune
CD99-PILRA,pan.pCAF pri-Macrophages pri,7.722,4,CAF->immune
CD99-PILRA,pan.pCAF pri-Myeloid Dendritic pri,6.8625,4,CAF->immune
Cholesterol-byLIPA-RORA,Myeloid Dendritic pri-pan.dCAF pri,3.429,4,immune->CAF
Cholesterol-byLIPA-RORA,Myeloid Dendritic pri-pan.iCAF pri,3.5382,4,immune->CAF
CLU-TREM2-receptor,pan.dCAF pri-Macrophages pri,4.0852,4,CAF->immune
CSF1-CSF1R,pan.dCAF pri-Macrophages pri,6.3848,5,CAF->immune
CSF1-CSF1R,pan.dCAF pri-Myeloid Dendritic pri,5.5828,5,CAF->immune
CSF1-CSF1R,pan.iCAF pri-Macrophages pri,6.4462,5,CAF->immune
CSF1-CSF1R,pan.iCAF pri-Myeloid Dendritic pri,5.6442,5,CAF->immune
CSF1-CSF1R,pan.pCAF pri-Macrophages pri,6.42275,4,CAF->immune
CSF1-CSF1R,pan.pCAF pri-Myeloid Dendritic pri,5.61325,4,CAF->immune
CX3CL1-CX3CR1,pan.dCAF pri-Macrophages pri,3.0802,4,CAF->immune
CX3CL1-CX3CR1,pan.dCAF pri-Myeloid Dendritic pri,2.3886,4,CAF->immune
CXCL12-CXCR4,pan.dCAF pri-Macrophages pri,8.887,5,CAF->immune
CXCL12-CXCR4,pan.dCAF pri-Myeloid Dendritic pri,8.9398,5,CAF->immune
CXCL12-CXCR4,pan.iCAF pri-Macrophages pri,10.0878,5,CAF->immune
CXCL12-CXCR4,pan.iCAF pri-Myeloid Dendritic pri,10.1402,5,CAF->immune
CXCL12-CXCR4,pan.pCAF pri-Myeloid Dendritic pri,7.87025,4,CAF->immune
CXCL14-CXCR4,pan.dCAF pri-Macrophages pri,8.8834,5,CAF->immune
CXCL14-CXCR4,pan.dCAF pri-Myeloid Dendritic pri,8.936,5,CAF->immune
